Chinese,English
Pu Tao,Grape
Xiang Jiao,Banana
Cao Mei,Strawberry
Gan Lan,Olive
Tao,Peach
Li,Pear
Lan Mei,Blueberry
Mi Gua,Honey Melon
Ning Meng,Lemon
Niu You Guo,Avocado
Liu Lian ,Durian
Hong Mao Dan,Rambutan
Ying Tao,Cherry
Bo Luo Mi,Jackfruit
Bai Xiang Guo,Passionfruit
Jin Gua,Pumpkin
Mang Guo,Mango
Sheng Cai,Lettuce
La Jiao,Chili
Fan Qie,Tomato
Qie Zi,Eggplant
Luo Po,Carrot
Ku Gua,Bittergourd
Cong,Spring Onion
Bo Cai,Spinach
Ma Ling Shu,Potato
Huang Guo,Cucumber
Yu Mi,Corn
Mo Gu,Mushroom